,cpt,P,T,Name
0,482.3,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium hexafluorophosphate"
1,715.0,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
2,444.4,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium cyanocyanamide"
3,338.9,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium tetrafluoroborate"
4,281.5,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium chloride"
5,434.6,101.325,298.1,1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide
6,602.0,101.325,298.1,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
7,354.2,101.325,298.1,1-butyronitrile-3-methylimidazolium hexafluorophosphate
8,431.4,101.325,298.1,1-butyronitrile-3-methylimidazolium tetrafluoroborate
9,289.6,101.325,298.1,3-(3-cyanopropyl)-1-methylimidazolium chloride
10,456.2,101.325,298.1,butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide
11,326.6,101.325,298.1,Butyronitriletrimethylammonium hexafluorophosphate
12,288.9,101.325,298.1,Butyronitriletrimethylammonium tetrafluoroborate
13,422.2,101.325,298.1,N-butyronitrilepyridinium dicyanamide
14,632.0,101.325,298.1,N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide
15,420.7,101.325,298.1,N-butyronitrile pyridinium hexafluorophosphate
16,414.2,101.325,298.1,N-butyronitrile pyridinium tetrafluoroborate
17,222.8,101.325,298.1,N-butyronitrile pyridinium chloride
18,432.0,101.325,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
19,498.0,101.325,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
20,325.9,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
21,599.0,101.325,298.15,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
22,510.0,101.325,298.15,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
23,435.0,101.325,298.15,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
24,360.4,101.325,298.15,1-benzyl-3-methylimidazolium hexafluorophosphate
25,304.6,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
26,338.4,101.325,298.15,1-benzyl-3-methyl-1H-imidazolium chloride
27,569.1,101.325,298.15,1-nonyl-3-methylimidazolium hexafluorophosphate
28,411.6,101.325,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
29,536.2,101.325,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
30,500.0,101.325,298.15,1-heptyl-3-methylimidazolium hexafluorophosphate
31,468.6,101.325,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
32,436.8,101.325,298.15,1-methyl-3-pentylimidazolium hexafluorophosphate
33,578.0,101.325,298.15,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
34,566.0,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
35,579.0,101.325,298.15,1-isobutyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)imide
36,608.0,101.325,298.15,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide
37,565.0,101.325,298.15,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide
38,582.0,101.325,298.15,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide
39,584.0,101.325,298.15,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
40,653.0,101.325,298.15,1-ethyl-2-pentylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
41,594.0,101.325,298.15,1-ethyl-2-propylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
42,566.0,101.325,298.15,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide"
43,811.0,101.325,298.15,2-decyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
44,624.0,101.325,298.15,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
45,686.0,101.325,298.15,1-ethyl-2-hexylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
46,718.0,101.325,298.15,1-ethyl-2-heptylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
47,749.0,101.325,298.15,1-ethyl-2-octylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
48,778.0,101.325,298.15,1-ethyl-2-nonylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
49,659.2,101.325,298.15,1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
50,690.2,101.325,298.15,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
51,820.2,101.325,298.15,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide
52,754.5,101.325,298.15,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
53,504.8,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
54,534.9,101.325,298.15,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
55,565.9,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
56,595.6,101.325,298.15,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide
57,629.4,101.325,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
59,842.0,101.325,298.15,"N,N,N-triethyl-1-decanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
60,972.0,101.325,298.15,"N,N,N-triethyltetradecan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
61,151.3,101.325,298.1,"1,3-propanediol, 2-amino-2-(hydroxymethyl)-, hydrochloride"
62,310.0,101.325,298.0,1-butyl-3-methylimidazolium iodide
63,412.0,101.325,298.15,1-ethyl-3-methylimidazolium dimethylphosphate
64,281.4,101.325,298.15,1-ethyl-3-methylimidazolium thiocyanate
65,314.6,101.325,298.15,1-ethyl-3-methylimidazolium dicyanamide
66,363.0,101.325,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
67,321.9,101.325,298.15,1-ethyl-3-methylimidazolium acetate
68,346.0,101.325,298.15,1-ethyl-3-methylimidazolium methanesulfonate
69,298.1,101.325,298.15,1-butyl-3-methylimidazolium tricyanomethane
70,231.8,101.325,298.15,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
71,368.0,101.325,298.15,1-butyl-3-methylpyridinium dicyanamide
72,207.47,101.0,298.15,ethylammonium nitrate
73,70.3,101.325,298.15,difluorogermylene
74,444.0,101.325,298.1,sodium dodecyl sulfate
76,468.0,101.325,298.0,1-butyl-3-methylpyridinium tricyanomethanide
78,524.0,101.325,298.2,1-butyl-1-methylpyrrolidinium tetracyanoborate
80,495.0,101.325,298.2,1-butyl-3-methylpyridinium tetracyanoborate
82,323.0,101.325,298.15,1-butyl-3-methylimidazolium chloride
84,524.0,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
86,536.0,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
88,397.6,101.325,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
92,365.0,101.325,298.15,1-butyl-3-methylimidazolium dicyanamide
94,317.0,101.325,298.15,1-butyl-3-methylimidazolium bromide
96,417.2,101.325,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
100,433.6,101.325,298.15,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate"
102,554.0,101.325,298.15,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
104,628.0,101.325,298.0,"1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
106,766.0,101.325,298.0,"3,5-diethyl-1-hexyl-2-propylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
108,620.0,101.325,298.0,"1-hexyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)imide"
110,624.0,101.325,298.0,"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
112,343.0,101.325,298.0,1-hexyl-3-methylpyridinium bromide
114,612.0,101.325,298.0,1-hexylpyridinium bis(trifluromethylsulfonyl)imide
116,707.0,101.325,298.0,1-butyl-nicotinic acid butyl ester bis[(trifluoromethyl)sulfonyl]imide
118,405.0,101.325,298.0,1-butyl-3-methylpyridinium tetrafluoroborate
120,725.0,101.325,298.0,"1-hexyl-3-methyl-4-(dimethylamino)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
122,669.0,101.325,298.0,1-octyl-3-methylpydridinium bis(trifluoromethylsulfonyl)imide
124,643.0,101.325,298.0,1-butyl-3-methylimidazolium 2-(2-methoxyethoxy)ethyl sulfate
126,344.0,101.325,298.0,3-hexyl-1-methyl-1H-imidazolium bromide
128,583.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
130,686.0,101.325,298.0,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
132,725.0,101.325,298.0,"1-methyl-3-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
134,1320.0,101.325,298.0,tetrabutylammonium docusate
136,1070.0,101.325,298.0,"17-hydroxy-N-(17-hydroxy-3,6,9,12,15-pentaoxaheptadec-1-yl)-N-methyl-N-tetradecyl-3,6,9,12,15-pentaoxaheptadecan-1-aminium methyl sulfate"
138,654.0,101.325,298.0,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
140,392.0,101.325,298.0,1-methyl-3-octylimidazolium bromide
142,506.0,101.325,298.0,1-methyl-3-octylimidazolium tetrafluoroborate
144,416.0,101.325,298.0,1-hexyl-3-methylimidazolium tetrafluoroborate
146,389.0,101.325,298.0,1-ethyl-3-methylpyridinium ethylsulfate
148,622.0,101.325,298.0,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
150,513.0,101.325,298.0,3-(ethoxycarbonyl)-1-ethylpyridinium ethylsulfate
160,331.0,101.325,298.965,1-ethyl-3-methylimidazolium hexafluorophosphate
165,341.0,101.325,298.15,1-ethyl-3-methylimidazolium methylsulfate
174,435.0,101.325,298.15,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
177,376.0,101.325,298.15,1-butyl-3-methylimidazolium dicyanamide
180,534.0,101.325,298.15,1-hexyl-3-methylimidazolium dicyanamide
183,299.0,101.325,298.15,1-methylpyridinium methylsulfate
186,412.0,101.325,298.15,"1,2-diethylpyridinium ethylsulfate"
189,502.0,101.325,298.15,1-butyl-1-methylpyrrolidinium dicyanamide
191,400.0,101.325,298.0,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide)
194,709.0,101.325,298.15,"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
197,633.0,101.325,298.15,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide
200,586.0,101.325,298.15,1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide
203,658.0,101.325,298.15,"3-cyano-1-hexylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
206,380.7,101.325,298.15,sodium dodecyl sulfate
218,304.6,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
222,304.6,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
230,305.4,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
234,305.4,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
238,304.6,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
242,305.0,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
246,305.1,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
270,971.6,101.325,298.15,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
281,283.0,101.325,298.15,"1,3-dimethylimidazolium dimethylphosphate"
308,305.8,101.325,298.15,1-butyl-3-methylimidazolium nitrate
356,631.6,101.325,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
365,388.8,101.325,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
372,363.1,101.325,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
378,427.8,101.325,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
384,394.4,101.325,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
390,416.2,101.325,298.15,1-butyl-3-methylimidazolium methyl sulfate
396,363.2,101.325,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
402,424.1,101.325,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
408,416.2,101.325,298.15,1-butyl-3-methylimidazolium methyl sulfate
414,394.4,101.325,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
420,424.1,101.325,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
426,363.2,101.325,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
432,363.2,101.325,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
438,363.1,101.325,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
444,427.8,101.325,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
450,394.4,101.325,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
456,416.2,101.325,298.15,1-butyl-3-methylimidazolium methyl sulfate
462,424.1,101.325,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
619,769.0,101.3,298.15,1H-imidazolium octanoate
658,713.0,101.325,298.15,triethylhexylammonium bis((trifluoromethyl)sulfonyl)imide
666,775.0,101.325,298.15,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
674,905.0,101.325,298.15,"N,N,N-triethyldodecan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
693,499.4,101.0,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
702,431.0,101.0,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
711,407.7,101.325,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
727,566.9,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
736,407.8,101.325,298.15,1-ethyl-3-methylimidazolium tetracyanoborate
808,635.0,101.325,298.15,"N,N-dibutyl-N-methylbutanaminium L-serinate"
817,961.0,101.325,298.15,tetrabutylphosphonium L-threoninate
826,844.0,101.325,298.15,tetrabutylphosphonium L-prolinate
835,747.0,101.325,298.15,tetrabutylphosphonium L-valinate
844,920.0,101.325,298.15,tetrabutylphosphonium L-cysteinate
853,1000.0,101.325,298.15,tetrabutylphosphonium L-lysinate
862,990.0,101.325,298.15,tetrabutylphosphonium 2-aminoethanesulfonate
871,748.0,101.325,298.15,tetrabutylphosphonium L-serinate
880,753.0,101.325,298.15,"N,N-dibutyl-N-methyl-1-butanaminium L-threoninate"
889,824.0,101.325,298.15,"N,N-dibutyl-N-methyl-1-butanaminium L-lysinate"
898,827.0,101.325,298.15,"N,N-dibutyl-N-methyl-1-butanaminium 2-aminoethanesulfonate"
909,567.3,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
919,566.5,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
926,611.0,101.325,298.0,"n-butyl-4-(n',n'-dimethylammonium)pyridinium bis(trifluoromethylsulfonyl)imid"
936,663.0,101.325,298.0,"4-(dimethylamino)-1-hexyl-pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
946,460.0,101.325,298.0,1-ethyl-3-methylimidazolium diethylphosphate
967,407.9,101.325,298.15,1-butyl-3-methylimidazolium trifluoroacetate
987,427.7,101.325,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
1006,388.8,101.325,298.2,1-butyl-3-methylimidazolium tetrafluoroborate
1019,567.0,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
1087,383.2,101.325,298.15,1-butyl-3-methylimidazolium acetate
1166,295.8,101.325,298.2,1-butyl-3-methylimidazolium bromide
1177,296.0,101.325,298.2,1-butyl-3-methylimidazolium bromide
1364,565.6,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
1370,364.7,101.325,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
1381,754.8,101.325,298.15,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
1429,629.2,101.325,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1465,629.0,101.325,298.0,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
1479,512.0,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1628,522.0,101.325,298.15,2-octylisoquinolinium thiocyanate
1639,599.0,101.325,298.0,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
1653,769.0,101.325,298.0,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
1667,525.0,101.325,298.0,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1681,667.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1695,733.0,101.325,298.0,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1709,457.0,101.325,298.0,1-butyl-3-methylimidazolium trifluoromethanesulfonate
1723,389.0,101.325,298.0,1-ethyl-3-methylimidazolium ethyl sulfate
1737,1366.0,101.325,298.0,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide
1765,768.0,101.325,298.15,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazolium) hexafluorophosphate(V)"
1804,434.0,101.325,298.93,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
1805,436.0,101.325,298.93,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
1813,971.7,101.325,298.13,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
1855,1635.0,101.325,298.15,"trihexyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate"
1872,554.0,101.325,298.15,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
1888,364.8,101.325,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
1904,509.2,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1920,308.1,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
1956,505.7,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
2013,228.0,101.325,298.15,pyrrolidinium nitrate
2097,470.0,101.325,298.15,1-butylpyridinium trifluoromethanesulfonate
2120,570.1,101.325,298.88,1-nonyl-3-methylimidazolium hexafluorophosphate
2140,280.8,101.325,298.15,1-methyl-3-propylimidazolium bromide
2361,309.9,101.325,298.15,1-butyl-3-methylimidazolium iodide
2372,352.0,101.325,298.15,1-ethylpyridinium triflate
2454,357.2,101.325,298.93,1-benzyl-3-methylimidazolium hexafluorophosphate
2474,607.0,101.325,298.93,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
2494,414.5,101.325,298.922,1-butyl-3-methylimidazolium hexafluorophosphate
2514,436.9,101.325,298.928,1-methyl-3-pentylimidazolium hexafluorophosphate
2534,468.8,101.325,298.92900000000003,1-hexyl-3-methylimidazolium hexafluorophosphate
2554,500.4,101.325,298.91700000000003,1-heptyl-3-methylimidazolium hexafluorophosphate
2574,304.0,101.325,298.93,1-benzyl-3-methylimidazolium tetrafluoroborate
2575,306.0,101.325,298.93,1-benzyl-3-methylimidazolium tetrafluoroborate
2617,382.8,101.325,298.15,1-ethyl-3-methylimidazolium ethyl sulfate
2637,366.7,101.325,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
2657,497.8,101.325,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
2934,381.0,101.325,298.15,1-butyl-3-methylimidazolium acetate
3035,522.0,101.325,298.15,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide
3056,380.0,101.325,298.15,1-butyl-2-methylpyridinium tetrafluoroborate
3081,450.0,101.325,298.15,N-octyl-3-methylpyridinium tetrafluoroborate
3102,413.7,101.325,298.15,1-butyl-4-methylpyridinium tetrafluoroborate
3123,412.3,101.325,298.15,1-butyl-3-methylpyridinium tetrafluoroborate
3138,383.32,101.325,298.15,1-butylpyridinium tetrafluoroborate
3217,412.7,101.325,298.15,1-butyl-3-methylimidazolium tosylate
3705,607.0,101.325,298.0,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide
3729,606.0,101.325,298.0,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
3980,558.0,101.325,298.15,2-methyl-1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide
4005,534.0,101.325,298.15,1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
4022,388.5,101.325,298.22,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide"
4055,363.0,101.325,298.15,1-propylpyridinium tetrafluoroborate
4080,395.0,101.325,298.15,1-butylpyridinium tetrafluoroborate
4227,550.2,101.325,298.24,N-octyl-1-octaminium hydrochloride
4473,399.0,101.325,298.56,1-butyl-3-methylimidazolium hexafluorophosphate
4849,236.7,101.325,298.15,1-methyl-3-propylimidazolium bromide
4921,1084.0,101.325,298.15,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
4966,427.9,101.325,298.54,1-butyl-3-methylimidazolium trifluoromethanesulfonate
5018,356.0,101.325,298.93,1-benzyl-3-methylimidazolium hexafluorophosphate
5019,358.0,101.325,298.93,1-benzyl-3-methylimidazolium hexafluorophosphate
5058,606.0,101.325,298.93,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
5059,607.0,101.325,298.93,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
5277,207.5,101.325,298.15,1-ethyl-3-methylimidazolium bromide
5289,502.0,101.325,298.15,1-butyl-1-methylpyrrolidinium dicyanamide
5371,594.0,101.325,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
5412,489.0,101.325,298.15,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
5453,462.0,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
5494,518.0,101.325,298.15,1-hexyl-3-methylimidazolium trifluoromethanesulfonate
5535,534.0,101.325,298.15,1-hexyl-3-methylimidazolium dicyanamide
5576,531.0,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
5617,548.0,101.325,298.1,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
5658,517.0,101.325,298.1,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide
5699,491.0,101.325,298.1,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide
5740,376.0,101.325,298.1,1-butyl-3-methylimidazolium dicyanamide
5810,241.8,101.325,298.15,1-butyl-3-methylimidazolium bromide
5998,635.0,101.325,298.15,1-butyl-3-methylimidazolium octyl sulfate
6098,406.9,101.325,298.25,1-butyl-3-methylimidazolium hexafluorophosphate
6150,559.2,101.325,298.0,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
6151,559.5,101.325,298.91,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
6685,424.0,101.325,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
6736,730.0,101.325,298.15,1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
6989,293.0,101.325,298.15,1-ethylpyridinium hexafluorophosphate
7045,328.7,101.325,298.15,1-propylpyridinium hexafluorophosphate
7285,629.3,101.325,298.38,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
7338,755.1,101.325,298.69,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
7484,588.0,101.325,298.12,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
7559,281.0,101.325,298.44,1-methyl-3-propylimidazolium bromide
8013,376.2,101.325,298.85,1-butyl-3-methylimidazolium dicyanamide
8172,367.0,101.325,298.3,1-butyl-3-methylimidazolium tetrafluoroborate
9537,498.2,101.325,298.65,1-methyl-3-octylimidazolium tetrafluoroborate
10419,629.1,101.325,298.14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
10420,629.6,101.325,298.37,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
10421,629.6,101.325,298.37,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
12766,383.0,101.325,298.74,1-ethyl-3-methylimidazolium ethyl sulfate
13204,635.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13205,636.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13206,639.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13207,640.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13208,641.0,101.325,298.0,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
13536,378.0,101.325,298.11,1-ethyl-3-methylimidazolium ethyl sulfate
13792,243.4,101.325,298.54,1-butyl-3-methylimidazolium bromide
13966,1082.0,101.325,298.11,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
13967,1098.0,101.325,298.6,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
13968,1103.0,101.325,298.63,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
14158,456.0,101.325,298.12,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
14159,458.0,101.325,298.72,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide
15421,300.9,101.325,298.39,1-methyl-3-propylimidazolium bromide
